YEAR_STATION,YEAR,STATION,WOLF_EEL,SABLEFISH,ARROWTOOTH_FLOUNDER,PACIFIC_SANDDAB,SPECKLED_SANDDAB,SCULPIN,REX_SOLE,GREENLING,SLENDER_SOLE,PACIFIC_HAKE,DOVER_SOLE,LINGCOD,PAINTED_GREENLING,RIGHT_EYED_FLATFISH,TURBOT,SAND_SOLE,CABEZON,BROWN_ROCKFISH,DARKBLOTCHED_ROCKFISH,CALICO_ROCKFISH,SPLITNOSE_ROCKFISH,GREENSTRIPED_ROCKFISH,WIDOW_ROCKFISH,YELLOWTAIL_ROCKFISH,CHILIPEPPER,SQUARESPOT_ROCKFISH,SHORTBELLY_ROCKFISH,COWCOD,BLACK_ROCKFISH,BLACKGILL_ROCKFISH,BLUE_ROCKFISH,BOCACCIO,CANARY_ROCKFISH,YELLOWMOUTH_ROCKFISH,YELLOWEYE_ROCKFISH,BANK_ROCKFISH,STRIPETAIL_ROCKFISH,HALFBANDED_ROCKFISH,OLIVE_ROCKFISH,PYGMY_ROCKFISH,SHARPCHIN_ROCKFISH,ROCKFISH,ROSY_ROCKFISH_GROUP,PACIFIC_TOMCOD,COPPER_ROCKFISH_GROUP,IRISH_LORD,sdiv,nspec,eve,LCBD,LONDD,LATDD,PROVINCE,SURVEY,CRUISE,STATION_BOTTOM_DEPTH,AREA,ACTIVE,clust_6,core,cpue,MDS1,MDS2,MDS3,centroid_distance,rar50,fMDS1,fMDS2,fMDS3,centroid_distance_fd,feve,fric,fdiv
1990_109,1990,109,0,0,0,1.290400337,1.809781876,0,0,0,0,2.274065797,0.23104906,0,0,0.23104906,0.597253156,0,0,0.23104906,0,0,0,0,0,0,0.597253156,0.366204096,0.799298424,0,0,0,0.46209812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.102077898,11,0.87663424,0.047915493,-122.0333333,36.58333333,CENTRAL,RREAS,9005,608,Monterey Bay Outside,Y,1,YES,8.889502144,-0.010491217,-0.225822223,-0.031940587,0.116498995,6,-0.038847448,0.082113842,-0.04893778,0.099214679,0.699297,0.134831624,0.818822049
1990_110,1990,110,0.23104906,0,0,4.402645129,3.118146905,0.23104906,0,0,0,7.032675976,0,0,0.46209812,0,0.46209812,0,0.366204096,0.366204096,0.23104906,0,0,0,2.095952853,0.46209812,1.030347484,2.153822725,2.781025957,0,0,0,0.924196241,1.086032179,0,0,0,0,0.799298424,1.290400337,0.879685777,0.23104906,0,0,0,0,0.23104906,0,2.573709812,22,0.832634774,0.200720971,-122.175,36.58333333,CENTRAL,RREAS,9005,2304,Monterey Bay Outside,Y,2,YES,30.86817784,-0.706558295,-0.070907903,-0.078311683,0.66122932,5.397341756,-0.009545518,0.055914544,-0.123821818,0.134880188,0.552901,0.382232644,0.911055576
1990_112,1990,112,0,0,0,0.597253156,1.381044909,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0.23104906,0,0,0,0,0.23104906,0.23104906,0.693147181,0,1.730985617,0,0,0,0.366204096,0,0,0,0,0,0.23104906,1.059351277,0.366204096,0,0,0,0,0,0,0,2.203278791,12,0.886664315,0.2240935,-121.9466634,36.65500081,CENTRAL,RREAS,9005,73,Monterey Bay Inside,Y,3,YES,7.349435633,-0.120032502,-0.32801839,0.469341073,0.551923128,5,-0.173893351,0.016192366,-0.025583662,0.16467827,0.591794,0.029056205,0.714488197
1990_113,1990,113,0.23104906,0,0,1.791759469,2.113453101,0.23104906,0,0,0,4.059332398,0,0,0.23104906,0,0.23104906,0,0,0.23104906,0,0,0,0,0,0,0,0,0.854983119,0,0,0,0,0,0,0,0,0,0.23104906,0.46209812,0,0.23104906,0,0,0,0,0,0,1.888308755,12,0.75991109,0.063299213,-122.05,36.64666748,CENTRAL,RREAS,9005,900,Monterey Bay Outside,Y,1,YES,10.89896963,-0.138227419,-0.260159431,-0.105919052,0.184391527,3.968528828,-0.046353266,0.094689506,-0.06847568,0.121590734,0.60682,0.155719687,0.917403513
1990_114,1990,114,0,0,0,0,0.597253156,0,0,0,0,1.086032179,0.23104906,0.23104906,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366204096,0,0,0.23104906,0,0,0,0,0,0,1.742238435,7,0.895332787,0.41637837,-121.8666667,36.76666667,CENTRAL,RREAS,9005,73,Monterey Bay Inside,Y,4,YES,2.973685673,0.558526467,-0.492093062,-0.530612075,0.869205659,NA,0.007575554,-0.154730777,0.021629025,0.156955248,0.788161,0.036440175,0.744502811
1990_115,1990,115,0,0,0,1.194506313,1.416165081,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0.23104906,0.23104906,0,0,0,0,0,0,0,0,1.446275875,6,0.807181184,0.227861518,-121.9083333,36.70833333,CENTRAL,RREAS,9005,91,Monterey Bay Inside,Y,3,YES,3.534867634,0.454973056,-0.034324319,0.382842567,0.65914357,NA,-0.155285349,-0.004422327,0.212543271,0.257606079,0.732291,0.004146772,0.849439168
1990_116,1990,116,0.23104906,0,0,0.693147181,1.261396545,0,0,0,0,2.585968736,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597253156,0,0,0,0,0,0,0,0,0,0.23104906,0.46209812,0,0.23104906,0,0,0,0,0,0,1.802355726,9,0.820287026,0.104822821,-121.9766602,36.73999837,CENTRAL,RREAS,9005,287,Monterey Bay Inside,Y,1,YES,6.524059979,0.087177025,-0.372578265,-0.198177756,0.333128292,4,-0.046929088,0.086087532,-0.043283865,0.102534973,0.590422,0.117954058,0.862741166
1990_117,1990,117,0,0,0,1.791759469,1.627600641,0,0.23104906,0,0,3.707751654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,1.422285738,7,0.730909746,0.054128776,-122.1083333,36.7,CENTRAL,RREAS,9005,1920,Monterey Bay Outside,Y,1,YES,8.051308005,0.025313081,-0.185145185,-0.177645734,0.174889181,2.999340902,-0.123053752,0.110925412,0.057369901,0.168158554,0.646842,0.030756183,0.769974981
1990_119,1990,119,0,0,0,0,0,0,0,0,0,2.607481576,0,0,0,0.23104906,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0.767528364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922821374,4,0.66567371,0.390925311,-121.9833333,36.84666748,CENTRAL,RREAS,9005,91,Monterey Bay Inside,Y,4,YES,3.837108061,-0.017504566,-0.652367159,-0.624245037,0.797617792,2,NA,NA,NA,NA,NA,NA,NA
1990_123,1990,123,0,0,0,0,0.998577425,0,0,0,0,0,0,0.46209812,0,0,0.23104906,0,0,0.693147181,0,0,0,0,0.23104906,0.23104906,0.366204096,0,1.691724605,0,0.23104906,0,0.693147181,0,0,0,0,0,0.23104906,0.23104906,0,0.23104906,0,0,0,0,0,0,2.291380379,13,0.893343054,0.356573785,-122.2916667,36.98333333,CENTRAL,RREAS,9005,82,Davenport,Y,2,YES,6.522242029,-0.238036989,-0.610930697,0.476293231,0.736708126,5,-0.003868105,-0.032221521,-0.115854556,0.118965245,0.56167,0.104798671,0.767302065
