Female Number;Month;Year;Capture latitude;Capture longitude;Capture depth (m);Body weight (g);Fork length (cm);Gonad weight (g);Liver weight (g);Somatic fat content (%);Age (years);Oocyte diameter (µm);Developmental stage;Reproductive phase;POF (presence/type);POF1;POF2;POF3
1;1;2018;57,83225;149,5908334;147;12460;99;1408;184;1,551651994;17;2007,109658;PO;Spawning Capable;none;;;
2;1;2018;57,83225;149,5908334;147;14040;100;1420;246;1,580150611;13;1707,012623;GVM;Spawning Capable;none;;;
3;1;2018;57,83225;149,5908334;147;10880;91;152;318;3,284321763;16;540,1025473;Vtg1;Developing;none;;;
4;1;2018;57,83225;149,5908334;147;10030;92;784;220;4,83074242;12;2030,189936;PO;Spawning Capable;none;;;
5;1;2018;57,83225;149,5908334;147;11150;92;1594;234;1,632773603;16;1646,438694;PO;Spawning Capable;none;;;
6;1;2018;57,83225;149,5908334;147;17790;108;1660;220;2,375481529;16;2289,424355;PO;Spawning Capable;none;;;
7;1;2018;57,83225;149,5908334;147;11750;97;726;318;2,208691295;16;1737,601834;GVM;Spawning Capable;none;;;
8;1;2018;57,83225;149,5908334;147;10330;90;1618;236;2,176765732;17;1665,976235;GVM;Spawning Capable;none;;;
9;1;2018;57,83225;149,5908334;147;10050;95;1300;230;1,574409318;15;1622,721557;GVM;Spawning Capable;none;;;
10;1;2018;57,83225;149,5908334;147;12480;100;1326;146;1,909421212;15;1764,708129;PO;Spawning Capable;POF1;POF1;;
11;1;2018;57,83225;149,5908334;147;8820;91;642;118;1,730689988;13;1944,521483;PO;Spawning Capable;none;;;
12;1;2018;57,83225;149,5908334;147;15550;111;330;196;6,120232989;#N/A;499,3748177;PS;Regressing;POF2;;POF2;
13;1;2018;57,83225;149,5908334;147;14550;104;1142;258;#N/A;14;1596,078451;GVM;Spawning Capable;none;;;
14;1;2018;57,83225;149,5908334;147;11120;92;1632;132;1,79484769;14;2053,949086;PO;Spawning Capable;POF1;POF1;POF2;
15;1;2018;57,83225;149,5908334;147;12470;97;1592;268;1,80139284;#N/A;1625,996708;GVM;Spawning Capable;none;;;
16;1;2018;57,83225;149,5908334;147;14260;102;1898;302;2,445672573;15;1653,478644;GVM;Spawning Capable;none;;;
17;1;2018;57,83225;149,5908334;147;21890;118;3160;244;1,674911228;16;2295,700701;PO;Spawning Capable;none;;;
18;1;2018;57,83225;149,5908334;147;9230;90;1004;178;2,122002389;14;1729,351105;PO;Spawning Capable;none;;;
19;1;2018;57,83225;149,5908334;147;10900;95;850;104;1,861383756;13;1728,535746;PO;Spawning Capable;POF2;;POF2;
20;1;2018;57,83225;149,5908334;147;9890;96;240;146;2,649577427;14;431,1787607;PS;Regressing;POF1;POF1;POF2;
21;1;2018;57,83225;149,5908334;147;28740;125;3504;286;1,568688886;18;2082,139476;PO;Spawning Capable;POF1;POF1;;
